ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
Ugydzr-gnj2ImdJM_bx4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-19T18:17:26.628241+00:00,0,,,cUqNb077JjQ,"{""text"":""Me add mantovani, nick: Maestro_Gab""},{""text"":""\n""},{""text"":""Plataforma: ps4""}",
UgztrkSti67v4ONmZK54AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-19T18:08:46.380042+00:00,0,,,_TIRM23YAOs,"{""text"":""527 a comentar""}",
UgxH05CoaRQHTQ9rDFV4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-19T17:22:14.997218+00:00,0,,,qvYdeCYL_10,"{""text"":""Nick: Maestro_Gab""},{""text"":""\n""},{""text"":""Plataforma: PS4""}",
UgyGFXRy-ETynJjocK14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-18T17:27:15.556364+00:00,0,,,TNYAZPf3l78,"{""text"":""Nick: Maestro_Gab""}",
Ugx7hCTcHb8i3q4MaPZ4AaABAg.8q6_pjd09Gd9BD8TWZHWH-,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-17T13:07:21.218389+00:00,0,Ugx7hCTcHb8i3q4MaPZ4AaABAg,,PAGgGTFY8kY,"{""text"":""Minha casa""}",Ugx7hCTcHb8i3q4MaPZ4AaABAg
UgyF2GQ0TWpCIfYihS94AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-14T01:43:06.157975+00:00,0,,,IrYO0au9U3U,"{""text"":""Please me adiciona""}",
UgwG3HjVsxpVzVqxart4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-14T01:42:41.995468+00:00,0,,,IrYO0au9U3U,"{""text"":""Maestro_Gab""}",
UgzOmAbhC1FKwp1stu94AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-10T17:36:22.529714+00:00,0,,,D9Ut73CohT0,"{""text"":""Eu queroooooooo o pacoteeeewww""}",
Ugynf9RHR1aM6ZJiZE94AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-09T01:35:42.385947+00:00,0,,,-5ZkD_F1g68,"{""text"":""Quero o Capitão América pooooor favooooor""}",
UgzW9eazu0Lgl8SLOZ54AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-08T20:09:49.413516+00:00,0,,,n196FPJ-YLI,"{""text"":""Vai dar certo""}",
Ugz34Cwn_pdWH-uULyZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-02T17:21:35.787444+00:00,0,,,ByH5pR76FAg,"{""text"":""Maestro_Gab""}",
UgyNzOqCtzzsCg_6bP14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-27T18:42:58.643046+00:00,0,,,3VMmFHX9VRI,"{""text"":""Muito bom""}",
UgwIbMngkpj7BRkDUFF4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-19T23:15:50.568774+00:00,0,,,_-uTO2VMHEM,"{""text"":""Dividimos nosso almoço: o cameraman falou mato, só que estava escrito mano""}",
UgxyC4fSWbha7p69gO94AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-08T22:37:07.077791+00:00,0,,,di_TfJKFvvI,"{""text"":""#Mamão"",""hashtag"":{""hashtagId"":""mamão""}}",
