ID do canal,URL do canal,Título do canal
UCVNouUw3d3l5JYVCxhAQXKA,http://www.youtube.com/channel/UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo
UCVVksn-TMGmkwvirl_neMWw,http://www.youtube.com/channel/UCVVksn-TMGmkwvirl_neMWw,Jooj Natu
UCVpRUM7pQ-jW1NO-OJocl6Q,http://www.youtube.com/channel/UCVpRUM7pQ-jW1NO-OJocl6Q,Marco Mantovani
UCVq92mtfkxVGDy1wYlRMMMQ,http://www.youtube.com/channel/UCVq92mtfkxVGDy1wYlRMMMQ,j33REN
UCVqu6t56HPxgM78WB3KtajA,http://www.youtube.com/channel/UCVqu6t56HPxgM78WB3KtajA,Tayr
UCW3E4PGzL-gONXGsaoeHI_A,http://www.youtube.com/channel/UCW3E4PGzL-gONXGsaoeHI_A,Novos Clássicos
UCW3oIxTLllTLK3Vy9jzdoEg,http://www.youtube.com/channel/UCW3oIxTLllTLK3Vy9jzdoEg,Xracing Videos
UCW46W_VJNRkKlNH0tpiq8_w,http://www.youtube.com/channel/UCW46W_VJNRkKlNH0tpiq8_w,2020 VISION
UCW6_V5qKt6XYv-lST3xZ0nQ,http://www.youtube.com/channel/UCW6_V5qKt6XYv-lST3xZ0nQ,Nicolas Gomes
UCWI4BNotJNSIhuUxpvJCeuw,http://www.youtube.com/channel/UCWI4BNotJNSIhuUxpvJCeuw,Química Integral
UCWKtHaeXVzUscYGcm0hEunw,http://www.youtube.com/channel/UCWKtHaeXVzUscYGcm0hEunw,BRKsEDU
UCWLhN89W2maiH3VFHPYgtRw,http://www.youtube.com/channel/UCWLhN89W2maiH3VFHPYgtRw,TOP
UCWRNNgMYim9I68hqwPrdIMg,http://www.youtube.com/channel/UCWRNNgMYim9I68hqwPrdIMg,TikTok Mashup
UCWS-W2jeV5Sua4sLCB7S2mA,http://www.youtube.com/channel/UCWS-W2jeV5Sua4sLCB7S2mA,Bullet
UCWjI3SOhGkOfQLX7b58bxyw,http://www.youtube.com/channel/UCWjI3SOhGkOfQLX7b58bxyw,Shock
UCWqp_otGswgVvFjX0CB-HzQ,http://www.youtube.com/channel/UCWqp_otGswgVvFjX0CB-HzQ,IShow
UCX3dGU5U-yCJqqDLOh1BYmA,http://www.youtube.com/channel/UCX3dGU5U-yCJqqDLOh1BYmA,João Frasson
